Class,Kilometres,Market Value,Year of Manufacture,Model,Extra
202021,"96,000","€5,500.00",2011,VW Polo,"1.2, Petrol, 5DR"
202021,"145,000","€5,300.00",2011,Chevrolet Cruze,"1.9,Diesel, 5DR"
202021,"322,395","€2,000.00",2000,VW Bora,"1.9, Diesel, SDI"
202021,"40,000","€6,000.00",2010,Toyota Auris,
202021,"112,000","€7,000.00",2010,VW Polo,"1.2, Petrol, 5DR"
202021,"202,000","€2,400.00",2006,Toyota Corolla,"1.4, Diesel"
202021,"67,000","€14,500.00",2015,Citroen Cactus,
202021,"39,000","€7,200.00",2013,Mazda Demio,"1.3, Pertol, 5DR"
202021,"120,000","€10,000.00",2013,Mercedes B Class,"1.8, Diesel 5DR"
202021,"191,158","€1,800.00",2006,Peugoet 206,1.6 Diesel HDI 
202021,"140,000","€2,800.00",2006,Honda Jazz,1.2 Petrol
202021,"77,668","€2,750.00",2007,VW Beetle,market price
202021,727,"€35,000.00",2020,Peugeot e208,electric
202021,"58,000","€4,800.00",2010,Kia Proceed LX,"1.396, Petrol, 3DR"
202021,"76,303","€4,000.00",2012,Peugoet 107,"1.0,Petrol,5DR"
202021,"138,000","€8,000.00",2014,Peugeot 208,"1.4,Petrol,5DR"
,,,,,
,,,,,
,Not Miles!,,,,